establecimiento,razon_social,rubro
BAEZ ANTONIO SIMEON / RODRIGUEZ TERESA / BAEZ OSCAR RAMON,IFAI - LOTE 169 B,AGRICULTURA
BAEZ ESTELA MARI,IVU,FRUTICULTURA
BALSARI EDGARDO ENRIQUE,IFAI - LOTE 77,AGRICULTURA
"BARBARO, MARIO LUCIANO",MARIO BARBARO,AGRICULTURA
BAUMGRATZ ALOISIO,KA´A PORÀ,AGRICULTURA
BECKER CARLOS LUIS,IFAI - LOTE 24,AGRICULTURA
BOGLIOTI JUAN JOSE,IFAI - LOTE 1,AGRICULTURA
BOWALCZUK JESUS RAUL,IFAI - LOTE 11,AGRICULTURA
BUBLITZ CARLOS / LUCAS JOSE / PETRY BLACIO / PETRY JOSE RAFAEL,IFAI - LOTE C,AGRICULTURA
BUNNKOWSKI ELIO MARIO,IFAI - LOTE 115,AGRICULTURA
CARDOZO ARLINDO JESUS / CARDOZO JESUS FELIX,IFAI - LOTE 143,AGRICULTURA
CARDOZO JOSE LUIS,IFAI - LOTE 119 B,AGRICULTURA
CARDOZO RICARDO ROGELIO,IFAI - LOTE 89,AGRICULTURA
CARDOZO RICARDO ROGELIO ,IFAI - LOTE 172,AGRICULTURA
CARRE ANIBAL DANIEL/MACHADO MIRIAM GRACIELA,IFAI - LOTE 16,AGRICULTURA
CARRE EMILIO/ ROJAS LILA AIDHEE / CARRE ULISES RAMON,IFAI - LOTE 4,AGRICULTURA
"CAVIGIOLI, MARIO",CAVIGIOLI MARIO,AGRICULTURA
CHESSANI JORGE / IASINSKI DANIELA LUCIA,IFAI - LOTE 15,AGRICULTURA
CHESSANI MAXIMO,IFAI - LOTE 69,AGRICULTURA
CUATRO CAMINOS S.R.L.,CUATRO CAMINOS,AGRICULTURA
DA CRUZ MANUEL ROSALINO/DA CRUZ JOSE RAMON / DA CRUZ JORGE ARIEL / ROSANA ISABEL / SILVIO ORLANDO,IFAI - LOTE 90 A Y B,AGRICULTURA
DA ROSA CARLOS/ WALTER FERREIRA DA ROSA / DE MATTOS BENITO / DE MATTOS MARIO,IFAI - LOTE 128 A,AGRICULTURA
DA ROSA JOSE DANIEL/RODRIGUEZ EDELMIRA/DA ROSA ALEJANDRA,IFAI - LOTE 7,AGRICULTURA
DA SILVA ARI/JOSE,IFAI - LOTE 72,AGRICULTURA
DALINGER MARGARITA IRENE,IFAI - LOTE 3 D,AGRICULTURA
DE LIMA ANGEL / MARTINEZ EZEQUIEL / SEGOVIA NADIA SOLEDAD,IFAI - LOTE 18-20,AGRICULTURA
DE MIRANDA JUAN FRANCISCO/ DE MIRANDA JOSE FRANCISCO,IFAI - LOTE 173,AGRICULTURA
DE OLIVERA CARLOS ORLANDO,IFAI - LOTE 19,AGRICULTURA
DE OLIVERA CARLOS ORLANDO,IFAI - LOTE 11,AGRICULTURA
DE OLIVERA HECTOR ANDRES/ DA SEQUEIRA SULEMA MABEL,IFAI - LOTE 4,AGRICULTURA
DE OLIVERA HECTOR ELIAS /ADELA KARINA / RODRIGUEZ HILDA ,IFAI - LOTE 10,AGRICULTURA
DE OLIVERA HECTOR ELIAS /ADELA KARINA / RODRIGUEZ HILDA ,IFAI - LOTE 4,AGRICULTURA
DE OLIVERA HUMBERTO / ANIAYA HECTOR,IFAI - LOTE 19,AGRICULTURA
DE OLIVERA VICTOR PLACIDO / ACOSTA CLAUDETTE,IFAI - LOTE 11,AGRICULTURA
DENI ANTONIO / BATIROLLA LUIS PABLO / BATIROLA GUSTAVO,IFAI - LOTE FISCAL,AGRICULTURA
DO SANTOS JUAN RAMON / RAMON,IFAI - LOTE 43,AGRICULTURA
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS,IFAI - LOTE 150,AGRICULTURA
DO SANTOS UBALDO / LUCIA / LUCAS UBALDO DO SANTOS / DO SANTOS JONATHAN,IFAI - LOTE 139,AGRICULTURA
DORNELES JUAN CARLOS / HOFFMANN MARTINS LAUDELINO,IFAI - LOTE 4 B,AGRICULTURA
DURAN AMBROSIO,IFAI - LOTE 73,AGRICULTURA
DURAN AMBROSIO,IFAI - LOTE 12 Y 7,AGRICULTURA
DURAN AMBROSIO,IFAI - LOTE 44,AGRICULTURA
EICHEMBER EVALDO / CLARA DOCARMO FERNANDEZ,IFAI - LOTE 21,AGRICULTURA
ENGER LIZARDO / RIVERO GLADIS A / AYALA ESILDA ENGER,IFAI - LOTE 148,AGRICULTURA
ENGER LIZARDO LUIS,IFAI - LOTE 176,AGRICULTURA
ENGER LIZARDO LUIS,IFAI - LOTE 152,AGRICULTURA
ENGERS LUCINDO / ENGERS CLOVIS MARCOS,IFAI - LOTE 22,AGRICULTURA
ENRIQUE VICTOR ARRUA,MALCRIADO,AGRICULTURA
ESCARVADOFSKI LIZARDO TOMAS/ CERRI ORESTINA,IFAI - LOTE 1 Y 2,AGRICULTURA
ESCARVADOFSKI LUIS FABIAN,IFAI - LOTE 17/18,AGRICULTURA
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 103,AGRICULTURA
ESPINDOLA ALCIMIRO / FLORES MARTA,IFAI - LOTE 24 A,AGRICULTURA
FERNANDEZ PEREIRA JOSE / JOSE HECTOR,IFAI - LOTE 94,AGRICULTURA
FERREYRA BLANCA LUCY,IFAI - LOTE 179,AGRICULTURA
FERREYRA LIDIA/ ELIZARDO GABRIEL,IFAI - LOTE 176,AGRICULTURA
FERREYRA LIDIO RAMON/ ELIZARDO GABRIEL / MIRANDA ROSANA BEATRIZ / RIVERO MARIA A. YANINA,IFAI - LOTE 174,AGRICULTURA
FERREYRA LIDIO RAMON/ELIZARDO GABRIEL,IFAI - LOTE 150,AGRICULTURA
FERREYRA LORENZO / FERREYRA ABEL MEDELI,IFAI - LOTE 27,AGRICULTURA
FERREYRA PEDRO,IFAI - LOTE 13,AGRICULTURA
FISHER CLAUDIO ARIEL/ TIERLING RAUL,IFAI - LOTE 8,AGRICULTURA
FUNDACION ALBERTO ROTH,FUNDACION ALBERTO ROTH,AGRICULTURA
GALVAN MARIELA ANDREA,IFAI - LOTE 162-163,AGRICULTURA
GALVAN MARIELA ANDREA,IFAI - LOTE 4,AGRICULTURA
GOMEZ CARLOS RUBEN,IFAI - LOTE 153,AGRICULTURA
GOMEZ HECTOR,IFAI - LOTE 94,AGRICULTURA
GOMEZ ROSALINO/ M. FATIMA DA SILVEIRA,IFAI - LOTE 123,AGRICULTURA
GONZALEZ CLAUDIA/BECKER OSCAR,IFAI - LOTE 36,AGRICULTURA
GONZALEZ MARINO/ GONZALEZ CORNELIO/ GONZALEZ SOLEDAD MARIELA,IFAI - LOTE 99,AGRICULTURA
GONZALEZ OSVALDO MARTIN,IFAI - LOTE 15,AGRICULTURA
GRABARCZUK TERESA/STECIUK NORA ISABEL,IFAI - LOTE 2 A,AGRICULTURA
GROSS VICTOR DANIEL,IFAI - LOTE 8F,AGRICULTURA
GRZVINSKI CLAUDIO / HECTOR JOSE,IFAI - LOTE 35,AGRICULTURA
HARTMANN MARIO / PRESTES LORENA ADRIANA / PRESTES CARLOS DAVID,IFAI - LOTE 69,AGRICULTURA
HARTMANN SIBANO / HARTMANN MAURO,IFAI - LOTE 121-123,AGRICULTURA
HEINZMANN ENRIQUE CRISTIAN,ENRIQUE CRISTIAN HEINZMANN,AGRICULTURA
JAKIMZUK  PEDRO MARCOS,IFAI - LOTE 195,AGRICULTURA
JAKIMZUK LIDIA/ OLIVERA RUBEN,IFAI - LOTE 8,AGRICULTURA
KALISPRENER JORGE RUBEN / SAWISKI MIRTHA GRACIA / KALISPRENER JORGE ANDRES,IFAI - LOTE 30,AGRICULTURA
KAPELINSKI JOSE ESTEBAN/CRISTIAN ARIEL,IFAI - LOTE 17,AGRICULTURA
KLUGE JORGE ALFREDO,IFAI - LOTE 41,AGRICULTURA
KOTH ITATI MARIA EVANGELINA,ROA PIPO,AGRICULTURA
KRAUS S.A.,ESTABLECIMIENTO KRAUS,AGRICULTURA
KREUNING JORGE,IFAI - LOTE 96,AGRICULTURA
KURZNIWSKI GERARDO GERMAN,IFAI - LOTE 11,AGRICULTURA
LA CONDICION S.A.,ISTUETA KM 300,AGRICULTURA
LAS TREINTA S.A.,DOROSZ,AGRICULTURA
LASSER TERESA/ MITTIL JUAN CARLOS  / MITTIL JUAN CARLOS (HIJO),IFAI - LOTE 5,AGRICULTURA
LORENZO YOLANDA /SENIO CRISTIAN SANTIAGO,IFAI - LOTE 237,AGRICULTURA
MACHADO MENDRANA PRADELINO / MACHADO PAULO,IFAI - LOTE 62,AGRICULTURA
MACHADO MIGUEL ANGEL/FERNANDO MIGUEL,IFAI - LOTE 61,AGRICULTURA
MACHADO MIGUEL/SOLIS ELBA BEATRIZ/MACHADO FABIANA,IFAI - LOTE 14 B,AGRICULTURA
MARCELO MANUEL LIMA / MANUEL ALTAMIRO LIMA,IFAI - LOTE 4,AGRICULTURA
MARIANA MAMPAEY,EL HORMIGUERO,AGRICULTURA
MARIANA MAMPAEY,EL HORMIGUERO,HORTICULTURA
MARLANDER JORGE ALFREDO / EZEQUIEL,IFAI - LOTE 7,AGRICULTURA
MARQUEZ JUAN ANDRES,IFAI - LOTE 145,AGRICULTURA
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA,AGRICULTURA
MARTIN JAVIER SALOMON SAAIED,CHACRA ADAMA,FRUTICULTURA
MIRANDA CARLOS LEON/MIRANDA HECTOR,IFAI - LOTE 133,AGRICULTURA
MORAES LUCAS,IFAI - LOTE 71 Y SOBRANTE,AGRICULTURA
"MOZZONI, ROBERTO RAMON",ROBERTO MOZZONI,AGRICULTURA
NELCI SANTIAGO / GENESINI HILDA INES,IFAI - LOTE FISCAL,AGRICULTURA
NEVEZ EUSEBIO,IFAI - LOTE 129,AGRICULTURA
NOREMBERG ROSSEMARIE HAIDEE,IFAI - LOTE 8 Y 9,AGRICULTURA
NUÑEZ JUAN AMERICO/MARIA ANGELICA,IFAI - LOTE E,AGRICULTURA
NUÑEZ JUAN BAUTISTA/ GIMENEZ ULISES,IFAI - LOTE B1,AGRICULTURA
NUÑEZ MARCELO RAMON / GARCIA MYRYAM,IFAI - LOTE K1,AGRICULTURA
NUÑEZ MARCELO RAMON /GARCIA MYRIAN,IFAI - LOTE 36,AGRICULTURA
OLEJNIK CARLOS/ESPINDOLA JORGE RAMON,IFAI - LOTE 27 A,AGRICULTURA
OLIVEIRA JORGE / NERI / VIDALVINA PEREYRA ( EX OLIVEIRA VALDIR / JORGE OLIVEIRA / ALFREDO NERI / ALEJANDRO OLIVEIRA),IFAI - LOTE 89,AGRICULTURA
OLIVERA RAMON HECTOR,IFAI - LOTE 43,AGRICULTURA
OLIVERA RAMON HECTOR,IFAI - LOTE 8,AGRICULTURA
OLIVERA RAMON HECTOR / JAKIMZUK OLGA CLAUDIA,IFAI - LOTE 196,AGRICULTURA
OLIVERA ROSA/PALCHICOVSKI SERGIO RAMON,IFAI - LOTE 5,AGRICULTURA
OLIVERA ROSA/PALCHICOVSKI SERGIO RAMON,IFAI - LOTE 6,AGRICULTURA
OLIVERA RUBEN / JAKIMZUK LIDIA / OLIVERA CESAR,IFAI - LOTE 199,AGRICULTURA
OLIVERA RUBEN / JAKIMZUK LIDIA / OLIVERA CESAR,IFAI - LOTE 198,AGRICULTURA
PAEZ DONATO / DE LIMA ELIO,IFAI - LOTE 4 Y 5,AGRICULTURA
PARK ANNA,ANNA PARK,AGRICULTURA
"PAULUK, TEODORO",PAULUK TEODORO,AGRICULTURA
PEREIRA MARIANO LIZARDO,IFAI - LOTE 114,AGRICULTURA
PEREIRA RICARDO,IFAI - LOTE 30,AGRICULTURA
PEREYRA DE RAMOS ABEL/EZEQUIEL,IFAI - LOTE 44,AGRICULTURA
PIEKA ANTONIO / SVIRCZ ELIAS,IFAI - LOTE 21,AGRICULTURA
PORTO CARLOS JAVIER,IFAI - LOTE 28 A,AGRICULTURA
PRICHODA TEODORO BASILIO/ JORGE RICARDO,IFAI - LOTE 10,AGRICULTURA
PRIETTO ANGEL GABRIEL,IFAI - LOTE 19,AGRICULTURA
QUEVEDO LUIS ALBERTO,IFAI - LOTE 29,AGRICULTURA
RAUL LOPEZ/LUCAS LOPEZ,CUARAJU MIMBI,AGRICULTURA
REIS JACINTO / REIS JORGE LUIS / REIS ROBERTO ABEL,IFAI - LOTE 37 B,AGRICULTURA
RIVERO GLADIS ANSELMA,IFAI - LOTE 176,AGRICULTURA
RIVERO JUAN CARLOS,IFAI - LOTE 67,AGRICULTURA
RODRIGUEZ JOSE CARLOS/ ELVIO MARINO ,IFAI - LOTE 17,AGRICULTURA
RODRIGUEZ MIGUEL CEFERINO,IFAI - LOTE H,AGRICULTURA
RODRIGUEZ MIGUEL CEFERINO,IFAI - LOTE 82 /103,AGRICULTURA
ROTTA  JOSE OSCAR/JOSE MARCELO,IFAI - LOTE 79 SUR,AGRICULTURA
RUBEN DARIO HENN,CHACRA DON LUIS,AGRICULTURA
SADI LEIRIA,IFAI - LOTE 165,AGRICULTURA
SAPOZNIK ANTONIO,IFAI - LOTE 1 Y 2,AGRICULTURA
SAVISKI CARLOS FRANCISCO,IFAI - LOTE 39 - 40,AGRICULTURA
SAVISKI ELVIO OSCAR,IFAI - LOTE 29,AGRICULTURA
"SCHERF, ALBERTO",SCHERF ALBERTO,AGRICULTURA
SCHOLLES LUIS OSCAR / JOSE LUIS,IFAI - LOTE 41,AGRICULTURA
SEGOVIA NADIA SOLEDAD / CRUZ MARCELO,IFAI - LOTE 78,AGRICULTURA
SELL JUAN,IFAI - LOTE 65,AGRICULTURA
SEMAINKO JUAN ALBERTO / DANIEL,IFAI - LOTE 54,AGRICULTURA
SENIO CRISTIAN/LORENZO YOLANDA,IFAI - LOTE 231,AGRICULTURA
SILVA ILDEMAR ELIZARDO,IFAI - LOTE 17,AGRICULTURA
SILVEYRA EDUARDO / SEPE FATIMA ISABEL,IFAI - LOTE 87 B,AGRICULTURA
SKRABA JUAN PABLO/SKRABA JUAN GUSTAVO,IFAI - LOTE 9 A,AGRICULTURA
SKUREK FERNANDO ARIEL,DORJE,AGRICULTURA
SMOLA HIPOLITO ABEL / JAKIMERSUK YOLANDA TERESA,IFAI - LOTE 119,AGRICULTURA
"SOLIS JOSE MARIA / ANDREA, GRACIELA",IFAI - LOTE 21,AGRICULTURA
SOLIS LEONEL JOSE/DOWBUZ LILIANA,IFAI - LOTE 20,AGRICULTURA
SOSA DA SILVA JUAN,IFAI - LOTE 61,AGRICULTURA
STECIUK ELIDA TERESITA/ RAEL OMAR DE OLIVERA / PALCZIKONSKI ALBINO,IFAI - LOTE 38-39-40,AGRICULTURA
STECIUK GREGORIO ALEJANDRO,IFAI - LOTE 228,AGRICULTURA
STECIUK MARIO RICARDO / STECIUK ABEL,IFAI - LOTE 233,AGRICULTURA
SUAREZ MARIA NELLI,IFAI - LOTE QTA 13,AGRICULTURA
SUAREZ RAMON OSCAR,IFAI - LOTE 16,AGRICULTURA
SUAREZ RAMON OSCAR / JAVIER OSCAR ,IFAI - LOTE QTA 2,AGRICULTURA
TABAREZ ANSELMO,IFAI - LOTE 12,AGRICULTURA
TAVAREZ CARLOS ANSELMO/ ANSELMO,IFAI - LOTE 18,AGRICULTURA
TAVAREZ RAMON SERGIO / JUAN CARLOS,IFAI - LOTE 12,AGRICULTURA
TRACHUK JOSE JAVIER / TRACHUK JOSE LUIS / TRACHUK EMILIO TEOFILO,IFAI - LOTE 72,AGRICULTURA
TRACHUK JOSE JAVIER / TRACHUK JOSE LUIS / TRACHUK EMILIO TEOFILO,IFAI - LOTE 65,AGRICULTURA
TRINDADES RUBEN ANGEL,IFAI - LOTE 711,AGRICULTURA
TYMCSZYSZYN JULIO DEMETRIO,IFAI - LOTE 520,AGRICULTURA
VALENZUELA TERESA / MAURICIO,IFAI - LOTE 137,AGRICULTURA
VARELA CLAUDIO,EL LAPACHO,FRUTICULTURA
VARELA CLAUDIO,EL LAPACHO,AGRICULTURA
VARGAS PACHECO JOSE CARLOS / DOMINGUEZ NETO ELIO / MACHADO BARCELLOS JOEL / MACHADO ARLINDO,IFAI - LOTE 28,AGRICULTURA
VELAZQUE FERNANDEZ JOSE JULCI/PRETTO ADAN,IFAI - LOTE 14,AGRICULTURA
WAGNER NORBERTO,IFAI - LOTE 49-50,AGRICULTURA
WAIDELICH OTTO,LOS CEDRITOS,GANADERIA
ZANAZZO OMAR / ZANAZZO JUAN CARLOS,IFAI - LOTE 25,AGRICULTURA
"BARTUSCH, ERNESTO",AÑELO,FRUTICULTURA
"BARTUSCH, ERNESTO",FEDERICO (LOTE 92S93N),FRUTICULTURA
"BARTUSCH, ERNESTO",RESIDENCIA (LOTE 161A),FRUTICULTURA
"BARTUSCH, RODOLFO",CASA (LOTE 161B),FRUTICULTURA
"BARTUSCH, RODOLFO",FIDEL (LOTE 154),FRUTICULTURA
"BARTUSCH, RODOLFO",Nº 205 Y Nº 206,FRUTICULTURA
BUWACO S.R.L.,LA NONA,FRUTICULTURA
"CARDENAS, JUANA ROSA",LOTE 160,FRUTICULTURA
"CARDENAS, JUANA ROSA",LOTE 94-1,FRUTICULTURA
"CENTURION, LAURA",DON DIONISIO,FRUTICULTURA
DALLA VILLA ALBERTO RAUL,EL CLAVO,FRUTICULTURA
DELLA GASPERA ALDO,CHACRA 187,FRUTICULTURA
DELLA GASPERA ALDO,CIPOLLETTI,FRUTICULTURA
DELLA GASPERA ALDO,LA CASA,FRUTICULTURA
ESTABLECIMIENTO NICOLAS S.R.L,NICOLAS,FRUTICULTURA
GARCIA MARIO ALBERTO,DON CHICHO,FRUTICULTURA
GARCIA MARIO ALBERTO,GARCIA MARIO,FRUTICULTURA
GONZALEZ ALDO DONATO,GONZALEZ ALDO DONATO,FRUTICULTURA
GURE ECHEA S.R.L,GERNIKA,FRUTICULTURA
ISLAFRUT SRL,ISLA MANZANO,FRUTICULTURA
"JACOBO, FRANCISCO JOSE","JACOBO, FRANCISCO JOSE",FRUTICULTURA
LA DELICIOSA S.A.,BIOPATAGONIA,FRUTICULTURA
LA DELICIOSA S.A.,CHACRA 34 LOTES B Y D,FRUTICULTURA
LA DELICIOSA S.A.,EL ALPATACO,FRUTICULTURA
LA DELICIOSA S.A.,FRUTICOLA PATAGONIA,FRUTICULTURA
LA DELICIOSA S.A.,LA ISLA,FRUTICULTURA
LA DELICIOSA S.A.,AIVEN,FRUTICULTURA
LA DELICIOSA S.A.,DON GREGORIO,FRUTICULTURA
LA DELICIOSA S.A.,DOÑA PEPA,FRUTICULTURA
LA DELICIOSA S.A.,EL CONDOR,FRUTICULTURA
LA DELICIOSA S.A.,LOTES 5B Y 5A,FRUTICULTURA
"MARTIN, OSCAR ALFREDO",EL LUPULAR ORGANICS FARM,FRUTICULTURA
"MONACHESI, ALEJANDRO GABRIEL",LA CRISTINA,FRUTICULTURA
"PAULOVICH, JUAN CARLOS",CHACRA CHINA MUERTA,FRUTICULTURA
R.O.S.T. FRUIT S.A.,CHACRA 2,FRUTICULTURA
"RETAMAL FERNANDEZ, JOSE E.","CHACRA ""EPUYEN""",FRUTICULTURA
SAHORES S.A.,SAHORES S.A.,FRUTICULTURA
"SANCHEZ, DARIO OMAR",LOTE 230 A,FRUTICULTURA
"SANCHEZ, GLADYS MABEL","SANCHEZ, GLADYS MABEL",FRUTICULTURA
SAYIHUE SRL,VISTA ALEGRE,FRUTICULTURA
SERHEN SRL,CHACRA 32,FRUTICULTURA
"STANGAFERRO, SERGIO",CHACRA 82-S,FRUTICULTURA
TECNITERRA SACIA,CHACRA 19,FRUTICULTURA
TECNITERRA SACIA,CHACRA 20,FRUTICULTURA
TECNITERRA SACIA,PICADA 8,FRUTICULTURA
ADRION PAUL,CHACRA HUMUS,GANADERIA
AGRICO.AR S.A.,AGRICO.AR S.A.,FRUTICULTURA
AGRO ROCA SA,LA ESCONDIDA,FRUTICULTURA
AGRO ROCA SA,LA ZAMBA,FRUTICULTURA
AGRONICA S.A.,FORTIN COPAHUE,AGRICULTURA
ANTIGUA SA (EX GARRIDO ROBERTO),CHACRA 145,FRUTICULTURA
ANTONINO MARIA ELENA DE COSTANZI,SANTA ELENA,FRUTICULTURA
"BANCO, HUGO","BANCO, HUGO",FRUTICULTURA
"BARZI, GUILLERMO AMADEO",CHACRA 173,FRUTICULTURA
"BARZI, GUILLERMO AMADEO",CHACRA 186,FRUTICULTURA
BIOVALLE S.A.,CHIMPAY II - LA ISLA,FRUTICULTURA
BIOVALLE S.A.,CURUNDU - BIOVALLE B - SECTOR HORNERO B - HORNERO C Y PUCCINI NORTE,FRUTICULTURA
BODEGA CHACRA S.R.L.,CHACRA 356 LOTE B DON TOMASO,FRUTICULTURA
BODEGA CHACRA S.R.L.,CHACRA 357 LOTE B,FRUTICULTURA
BODEGA NOEMIA DE PATAGONIA SA,BODEGA NOEMIA DE PATAGONIA SA,FRUTICULTURA
BODEGA Y VIÑEDOS PATAGONIA VALLEY S.R.L.,AUGUSTO RIPOLL,FRUTICULTURA
BRASPATAGONIA S.R.L.,BRASPATAGONIA,FRUTICULTURA
CANESSA HNAS,RAYHUAO,GANADERIA
CERES S.A.,ECO-CAÑADON,FRUTICULTURA
COMPAÑIA DE PRODUCCION FRUTIHORTICOLA  SA,BIO CAÑADON COLLETTI,FRUTICULTURA
COMPAÑIA DE PRODUCCION FRUTIHORTICOLA  SA,BUONA MELA,FRUTICULTURA
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA PILCANIYEU Y SAN PEDRO,GANADERIA
COMPAÑIA GENERAL DE FRUTAS S.A.,ELSA 1 Y 2,FRUTICULTURA
COMPAÑIA GENERAL DE FRUTAS S.A.,HILDA,FRUTICULTURA
COMPAÑIA GENERAL DE FRUTAS S.A.,LOS PERALES,FRUTICULTURA
COMPAÑIA GENERAL DE FRUTAS S.A.,SECCION TERCERA,FRUTICULTURA
COSTA DEL RIO S.A.,CAÑADON I,FRUTICULTURA
COSTANZI CARLOS SILVIO,EL NONO,FRUTICULTURA
COSTANZI EDGARDO MARIO SILVIO,LA COSTA,FRUTICULTURA
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 205,FRUTICULTURA
"DALLA PRIA, ALBERTO Y EDUARDO S.H.",CHACRA 340,FRUTICULTURA
ELOSEGUI HNOS. S.A.,LA INES,FRUTICULTURA
ERICH JUAN  ROSAUER ,COMODATO: ZOILO S.A/ JUAN ERICH ROSAUER,FRUTICULTURA
ESTABLECIMIENTO SANTA MARIA S.R.L.,ESTABLECIMIENTO SANTA MARIA SRL,FRUTICULTURA
ESTABLECIMIENTO SOLEDAD SA,CHACRA Nº 388,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA CHICHINALES,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA JOBEL,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA LAS 50,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA ABEL,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA MITRE,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA MARCELO,FRUTICULTURA
FRESCURAS ORGANICAS PATAGONICAS S.A.,CHACRA RAFIN,FRUTICULTURA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,CHACRA 215,FRUTICULTURA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,CHACRA 204,FRUTICULTURA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,DON PEDRO,FRUTICULTURA
FRUTICULTORES EMPACADORES DE GENERAL ROCA S.A.C.I.A.E I.,LA COSTANERA,FRUTICULTURA
GARCIA MARIA NELIDA,CHACRA 48,FRUTICULTURA
GARCIA MARIA NELIDA,CHACRA 48,HORTICULTURA
GARCIA MARIA NELIDA,PUENTE COLORADO,FRUTICULTURA
GARCIA MARIA NELIDA,PUENTE COLORADO,HORTICULTURA
GARCIA MARIA NELIDA,LOS CIPRESES,FRUTICULTURA
GARCIA MARIA NELIDA,LOS CIPRESES,HORTICULTURA
"GARCIA, JOAQUIN",GARCIA JOAQUIN,FRUTICULTURA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO,FRUTICULTURA
GONZALEZ L. Y RIADIGOS E. S.H.,CHACRA ARROYO CLARO,HORTICULTURA
"GREGORI, ROMULO LUIS",CHACRA Nº 197,FRUTICULTURA
HURACAN FRUIT S.R.L.,CHACRA 145E,FRUTICULTURA
ISLAFRUT SRL,ISLAFRUT,FRUTICULTURA
JAVIER LEGASPI,EL CAPRICHO,AGRICULTURA
JAVIER LEGASPI,VILLA MANZANO,AGRICULTURA
JOSE BARRESI S.A.,CHACRA 153 BIS,FRUTICULTURA
JOSE BARRESI S.A.,CHACRA 198 LOTE 5,FRUTICULTURA
LA ANGOSTURA S.R.L.,LA ANGOSTURA,GANADERIA
LA CONQUISTA SRL,LA CONQUISTA,FRUTICULTURA
LABARRIERE JEAN LOUIS,EL GALPON Y EL DESAGÜE,FRUTICULTURA
LAGO VERDE SA,LAGO VERDE,FRUTICULTURA
LAINO HERMANOS S.A.,CHACRA 168,FRUTICULTURA
LAINO HERMANOS S.A.,CHACRA 197,FRUTICULTURA
LAINO HERMANOS S.A.,CHACRA 231,FRUTICULTURA
LAINO HERMANOS S.A.,LA CASONA,FRUTICULTURA
LOZANO S.R.L.,DON DANIEL,FRUTICULTURA
LOZANO S.R.L.,DON ADOLFO,FRUTICULTURA
LUISI ANTONIO,CHACRA N° 258,FRUTICULTURA
LUISI ANTONIO,CHACRA N° 270,FRUTICULTURA
"LUSTIG, SCHOLZ, MANSO Y OTROS",LA VARELA,FRUTICULTURA
